objectid,area_name,designation,authority,owner,status,hectares,designation_year,record_rank
397,Pugwash River Estuary Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,23.44,,564
619,Hog Lake Conservation Lands,Land Trust or Conservation Easement,Nova Scotia Nature Trust,Nova Scotia Nature Trust,Considered protected,23.28,,565
131,Sporting Lake Nature Reserve,"Nature Reserve, Wilderness Area",NS Environment and Climate Change,NS Environment and Climate Change,Designated,23.22,,566
37,Cedar Lake Nature Reserve,Nature Reserve,NS Environment and Climate Change,NS Environment and Climate Change,Designated,23.15,,567
816,Gold River Lake Conservation Lands,Land Trust or Conservation Easement,Nova Scotia Nature Trust and private owner(s),Private owner(s),Considered protected,22.93,,568
398,Pugwash River Estuary Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,22.85,,569
458,Little Narrows Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,22.70,,570
132,Tusket River Nature Reserve,Nature Reserve,NS Environment and Climate Change,NS Environment and Climate Change,Designated,22.51,,571
768,Baddeck Bay Consevation Lands,Land Trust or Conservation Easement,Bras d'Or Preservation Nature Trust and private owner(s),Private owner(s),Considered protected,22.51,,572
470,Crows Neck Nature Reserve,Nature Reserve,NS Environment and Climate Change,NS Environment and Climate Change,Designated,22.36,,573
712,Barren Meadow 4 Conservation Lands,Land Trust or Conservation Easement,Nova Scotia Nature Trust,Nova Scotia Nature Trust,Considered protected,22.30,,574
258,Lake Annis Nature Reserve,Nature Reserve,"NS Environment and Climate Change, private owner(s)",Private owner(s),Designated,22.16,,575
