"period","specialty","procedure","provider","zone","facility","year","quarter","consult_median","consult_90th","surgery_median","surgery_90th"
"2023_q4",,"Hernia Repair  (Adult)",,"Zone 1","Yarmouth Regional","2023","4","24","91","52","159"
"12month_rolling","General Surgery","Hernia Repair  (Adult)","Jad, Ahmed",,,,,"177","370","248","346"
"2024_q3",,"Septoplasty",,"Zone 4","Hants Community Hospital","2024","3","102","438","78","107"
"3month_rolling",,"Male Circumcision  (Adult)",,"Zone 4","Dartmouth General","2025","2",,,"103","157"
"2025_q1",,"Coronary Artery Bypass Graft",,"Total","Provincial","2025","1",,,"39","82"
"2024_q2",,"Hysteroscopy",,"Zone 1","South Shore Regional","2024","2","32","139","43","91"
"12month_rolling","Otolaryngology (ENT)","Head and Neck Surgery","Williams, Blair",,,,,"46","68","233","331"
"2024_q1",,"Vitreoretinal Diseases",,"Zone 4","QE2","2024","1","27","132","25","104"
"12month_rolling",,"Endarterectomy",,"Zone 4","QE2","2025","2","25","167","29","66"
"2024_q2",,"Dental Extractions and Restorations  (Adult)",,"IWK","IWK","2024","2",,,"560","1301"
"2023_q2",,"Bowel Resection - Laparoscopic",,"Zone 3","Cape Breton Regional","2023","2","8","28","32","46"
"2025_q2",,"Cardiovascular Surgery",,"Total","Provincial","2025","2",,,"50","84"
"12month_rolling","General Surgery","Gastrointestinal Tract Surgery - Laparoscopic","Yaffe, Paul",,,,,"26","78","39","63"
"3month_rolling",,"Knee Scope with ACL Repair",,"Zone 3","Cape Breton Regional","2025","2",,,"34","47"
"12month_rolling","Otolaryngology (ENT)","Laryngology and Vocal Cord Surgery","Rigby, Matthew Hall",,,,,,,"26","50"
"12month_rolling",,"Liver Surgery",,"Zone 4","QE2","2025","2","12","29","36","79"
"2024_q3",,"Prostate Surgery - Laparoscopic",,"Zone 4","QE2","2024","3","38","153","160","242"
"12month_rolling","Otolaryngology (ENT)","All","Corsten, P Gerard",,,,,"147","359","96","337"
"2025_q2",,"AV Fistula Creation/Closure",,"Total","Provincial","2025","2",,,"24","70"
"2025_q1",,"Hip Replacement",,"Total","Provincial","2025","1","236","468","120","319"
"12month_rolling","Urology","Kidney Stone Surgery","Lehmann, Kyle",,,,,,,"58","117"
"2025_q2",,"Whipple Procedures",,"Total","Provincial","2025","2","13","22","37","46"
"12month_rolling","Obstetrics/Gynaecology","All","Nee, Brigid",,,,,"110","443","162","313"
"12month_rolling","Obstetrics/Gynaecology","Hysteroscopy","Nair, Cynthia",,,,,"30","99","28","52"
"2025_q2",,"Knee Replacement",,"Total","Provincial","2025","2","363","504","138","445"
"2024_q4",,"Bowel Resection - Open",,"Zone 1","Yarmouth Regional","2024","4",,,"17","46"
"2024_q3",,"Back Surgery  (Pediatric)",,"IWK","IWK","2024","3",,,"359","741"
"2024_q2",,"Foot - Bunionectomy",,"Total","Provincial","2024","2",,,"109","141"
"2023_q3",,"Aneurysm Repair",,"Zone 4","QE2","2023","3","30","127","31","167"
"12month_rolling","Oral Maxillofacial","Bone / Cartilage Graft","Doucet, Jean-Charles",,,,,"37","42","209","314"
"2024_q3",,"Septoplasty",,"Zone 4","Dartmouth General","2024","3","83","133","119","332"
"2023_q2",,"Nerve or Brain Stimulation",,"Zone 4","QE2","2023","2",,,"42","78"
"3month_rolling",,"Hysterectomy  (Cancer Suspected or Proven)",,"Zone 2","Colchester East Hants Health Centre","2025","2","30","46",,
"12month_rolling","Obstetrics/Gynaecology","Hysterectomy  (Cancer Not Suspected)","Nette, Farrell",,,,,"178","423","225","359"
"12month_rolling",,"Tendon / Ligament Repair",,"Zone 3","Inverness Consolidated Memorial","2025","2","224","385","74","98"
"2025_q2",,"Carpal Tunnel Surgery",,"Zone 4","Hants Community Hospital","2025","2",,,"32","111"
"12month_rolling","General Surgery","Gastric Surgery","Helyer, Lucy K",,,,,"10","16","27","32"
"2023_q4",,"Esophagectomy / Esophageal Surgery",,"Total","Provincial","2023","4","25","342","31","92"
"2024_q2",,"Sacral Nerve Stimulation",,"Zone 4","QE2","2024","2",,,"136","228"
"2024_q2",,"Hernia Repair - Inguinal/Femoral",,"Zone 1","Valley Regional","2024","2","21","59","89","189"
"12month_rolling","General Surgery","Insertion Vascular Access Catheter","Blackmore, Christopher",,,,,"106","151","10","91"
"2023_q3",,"Gastrointestinal Tract Surgery - Laparoscopic",,"Zone 1","Valley Regional","2023","3","14","383","41","87"
"12month_rolling",,"Male Incontinence Surgery",,"Zone 4","QE2","2025","2","86","97","94","184"
"2025_q1",,"Hernia Repair - Inguinal/Femoral",,"Zone 2","Cumberland Regional","2025","1","47","205","69","114"
"2023_q4",,"Shoulder Arthroscopy",,"Zone 1","Valley Regional","2023","4","97","400","141","250"
"2024_q1",,"Hip Replacement",,"Zone 4","QE2","2024","1","123","246","121","1280"
"2025_q2",,"Lung Cancer Surgery",,"Total","Provincial","2025","2","28","64","24","49"
"2024_q2",,"Hernia Repair - Umbilical",,"Zone 4","QE2","2024","2","187","282",,
"12month_rolling","General Surgery","All","Knapp, Gregory",,,,,"19","112","35","79"
"2023_q3",,"Hernia Repair  (Adult)",,"Zone 1","Valley Regional","2023","3","58","392","45","491"
"2024_q2",,"Breast Reduction Surgery",,"Zone 4","QE2","2024","2","1160","1338","97","246"
"12month_rolling","General Surgery","Hernia Repair  (Adult)","Roach, Eileen",,,,,"148","341","184","428"
"2024_q3",,"Hip Replacement",,"Zone 4","QE2","2024","3","152","259","57","549"
"2025_q2",,"Wound Management",,"Total","Provincial","2025","2",,,"7","112"
"2024_q1",,"Bladder Cancer Surgery",,"Zone 1","Valley Regional","2024","1","5","39","28","69"
"2023_q2",,"Palmar Fascia Excision for Dupuytren's Disease",,"Zone 1","South Shore Regional","2023","2","67","540","92","364"
"12month_rolling","General Surgery","Hernia Repair - Incisional","Wasserman, Lukas",,,,,"103","204","143","395"
