"period","specialty","procedure","provider","zone","facility","year","quarter","consult_median","consult_90th","surgery_median","surgery_90th"
"2023_q4",,"Male Reproductive System Surgery",,"Zone 4","Dartmouth General","2023","4","74","260","175","771"
"2024_q2",,"Prostatectomy",,"Zone 4","QE2","2024","2","20","42","174","239"
"2023_q4",,"Vitreoretinal Diseases",,"Total","Provincial","2023","4","28","179","15","78"
"2023_q4",,"Hernia Repair - Inguinal/Femoral",,"Zone 3","Cape Breton Regional","2023","4","54","371","99","496"
"2024_q1",,"Temperomandibular Joint Surgery (TMJ)",,"Total","Provincial","2024","1","120","547","141","587"
"2024_q1",,"Colorectal Cancer Surgery",,"Total","Provincial","2024","1","19","114","31","69"
"2024_q2",,"Kidney Stone Surgery",,"Zone 4","QE2","2024","2","31","112","54","126"
"2023_q4",,"Hernia Repair - Laparoscopic Inguinal Femoral",,"Zone 3","St. Martha's Regional","2023","4","9","31","236","370"
"12month_rolling","Neurosurgery","All","Weeks, Adrienne",,,,,"10","58","7","68"
"12month_rolling","Urology","Cystoscopy","Butler, Trevor",,,,,"3","7","48","151"
"2024_q1",,"Peritoneal Lavage or Catherization",,"Total","Provincial","2024","1",,,"10","16"
"2023_q4",,"Kidney Stone Surgery",,"Zone 4","QE2","2023","4","33","71","41","117"
"3month_rolling",,"Shoulder Surgery",,"Zone 4","QE2","2025","2","77","178","107","369"
"12month_rolling","Urology","Kidney Stone Surgery","McCarthy, John Paul",,,,,,,"20","51"
"2024_q2",,"Shoulder Arthroscopy",,"Zone 1","South Shore Regional","2024","2","66","168","161","261"
"12month_rolling","Obstetrics/Gynaecology","Hysterectomy  (Cancer Not Suspected)","Saciragic, Lana",,,,,"11","20","28","77"
"2024_q1",,"Brain Surgery  (Adult)",,"Total","Provincial","2024","1","47","338","46","160"
"2024_q4",,"Male Reproductive System Surgery",,"Zone 1","Valley Regional","2024","4",,,"160","233"
"2024_q3",,"Knee Scope",,"Zone 3","Cape Breton Regional","2024","3",,,"101","189"
"3month_rolling",,"Hemorrhoidectomy",,"Total","Provincial","2025","2","83","463","80","246"
"2025_q2",,"Hernia Repair - Laparoscopic Inguinal Femoral",,"Zone 4","Dartmouth General","2025","2","158","245","105","242"
"2024_q3",,"Craniotomy or Craniectomy",,"Total","Provincial","2024","3",,,"91","339"
"2024_q2",,"Breast Reduction Surgery",,"Zone 3","St. Martha's Regional","2024","2","90","191",,
"2023_q2",,"Cornea and External Disease",,"Total","Provincial","2023","2","85","263","92","409"
"12month_rolling","General Surgery","All","Sytnik, Peter",,,,,"16","45","25","42"
"2024_q2",,"Septoplasty",,"Total","Provincial","2024","2","106","736","86","382"
"12month_rolling","Urology","All","Paterson, Nicholas",,,,,"43","116","65","163"
"2023_q4",,"Colorectal Cancer Surgery",,"Zone 4","QE2","2023","4","23","111","25","51"
"12month_rolling","General Surgery","Nissen Fundoplication - Laparoscopic","Ellsmere, James C",,,,,"67","116","302","429"
"2024_q4",,"Male Circumcision  (Pediatric)",,"Total","Provincial","2024","4",,,"132","680"
"2024_q2",,"Hernia Repair - Inguinal/Femoral",,"Total","Provincial","2024","2","53","335","73","213"
"12month_rolling","General Surgery","Hernia Repair - Inguinal/Femoral","Wasilewski, Leszek J",,,,,"873","982","55","69"
"2023_q3",,"Knee Scope with ACL Repair",,"Zone 4","QE2","2023","3","62","200","119","271"
"12month_rolling","General Surgery","Amputations","Archibald, Alison",,,,,"8","21","9","16"
"2023_q3",,"Functional Endoscopic Sinus Surgery (FESS)",,"Zone 4","Dartmouth General","2023","3","27","85","71","142"
"2024_q1",,"Knee Replacement",,"Zone 4","Dartmouth General","2024","1","266","467","229","463"
"2025_q1",,"Vitreoretinal Diseases",,"Zone 4","QE2","2025","1","34","118","22","71"
"2023_q4",,"Spinal Cord Stimulation Surgery",,"Zone 4","QE2","2023","4",,,"109","184"
"2024_q4",,"Video-Assisted Thoracic Surgery",,"Zone 4","QE2","2024","4","23","52","24","65"
"2024_q2",,"Hysteroscopy",,"Zone 4","Dartmouth General","2024","2","51","211","51","101"
"2024_q1",,"Hysteroscopy",,"Zone 1","Valley Regional","2024","1","60","2190","76","167"
"2025_q2",,"Knee Scope",,"Zone 4","QE2","2025","2",,,"143","374"
"12month_rolling","Otolaryngology (ENT)","Ear Tubes  (Pediatric)","Corsten, P Gerard",,,,,"75","322","82","148"
"2023_q4",,"Kidney Stone Surgery",,"Zone 1","Valley Regional","2023","4",,,"50","212"
"2024_q1",,"Back Surgery  (Pediatric)",,"Total","Provincial","2024","1",,,"314","539"
"3month_rolling",,"Shoulder Arthroscopy",,"Zone 1","Yarmouth Regional","2025","2",,,"144","230"
"2023_q2",,"Ear Tubes  (Pediatric)",,"IWK","IWK","2023","2","111","169","76","123"
"2023_q4",,"Brain Surgery  (Pediatric)",,"Total","Provincial","2023","4",,,"39","44"
"2025_q1",,"Insertion Vascular Access Catheter",,"Zone 1","Yarmouth Regional","2025","1",,,"15","27"
"2024_q2",,"Kidney Removal",,"Zone 4","QE2","2024","2","11","25","56","185"
"2025_q1",,"Breast Cancer Surgery",,"Total","Provincial","2025","1","13","25","27","54"
"2024_q1",,"Hernia Repair - Inguinal/Femoral",,"Zone 4","Dartmouth General","2024","1","112","382","104","239"
"2025_q2",,"Hernia Repair - Umbilical",,"Zone 1","South Shore Regional","2025","2","46","129","32","71"
"2025_q2",,"Sinus Surgery",,"Total","Provincial","2025","2","70","189","97","443"
"2025_q1",,"Craniotomy or Craniectomy",,"Zone 4","QE2","2025","1",,,"95","153"
"2024_q4",,"Sinus Surgery",,"Total","Provincial","2024","4","168","1522","68","133"
"2024_q1",,"Hernia Repair  (Adult)",,"Zone 2","Aberdeen Hospital","2024","1","244","703","46","86"
"2025_q2",,"Gallbladder Surgery",,"Zone 2","Aberdeen Hospital","2025","2","63","167","64","123"
"12month_rolling","Dental","All","Briand, Beth",,,,,"31","105","96","183"
"2025_q1",,"Lung Cancer Surgery",,"Zone 4","QE2","2025","1","26","70","29","60"
"2023_q3",,"Bowel Resection",,"Zone 1","Valley Regional","2023","3","14","383","29","51"
"12month_rolling","General Surgery","Gastrointestinal Tract Surgery","Walsh, Mark J",,,,,"11","24","60","84"
"12month_rolling","Obstetrics/Gynaecology","Removal of Ovaries and/or Fallopian Tubes  (Cancer Not Suspected)","Rudd, Michael W",,,,,"504","1371","223","302"
"12month_rolling","General Surgery","Colorectal Cancer Surgery","Kavanagh, Rhys",,,,,"31","548","27","35"
"2023_q2",,"Hip Replacement",,"Total","Provincial","2023","2","127","436","176","608"
"12month_rolling","Dental","Dental Extractions and Restorations  (Adult)","Doyle, Tracy",,,,,"68","68","829","1113"
"2024_q2",,"Gastrointestinal Tract Surgery",,"Zone 3","Cape Breton Regional","2024","2","12","29","29","200"
"2024_q1",,"Thyroid or Parathyroid Surgery",,"Zone 4","QE2","2024","1","42","99","117","1030"
"2024_q3",,"Lung Cancer Surgery",,"Zone 4","QE2","2024","3","27","73","39","88"
"12month_rolling",,"Cardiovascular Surgery",,"Zone 4","QE2","2025","2",,,"48","113"
"2025_q2",,"Foot - Arthrodesis",,"Total","Provincial","2025","2","143","572","96","331"
"2024_q1",,"Bowel Resection - Laparoscopic",,"Zone 4","QE2","2024","1","37","128","35","66"
"2023_q2",,"Nose Surgery - Reconstructive or Aesthetic",,"Total","Provincial","2023","2","102","195","27","62"
"2023_q3",,"Knee Replacement",,"Total","Provincial","2023","3","169","518","207","605"
"2025_q2",,"Hernia Repair  (Adult)",,"Zone 3","Cape Breton Regional","2025","2","156","608","83","195"
"2023_q4",,"Pancreas Surgery",,"Total","Provincial","2023","4","15","21","30","69"
"2025_q1",,"Dental Extractions and Restorations  (Pediatric)",,"Total","Provincial","2025","1","60","381","118","491"
"2024_q1",,"Removal of Ovaries and/or Fallopian Tubes  (Cancer Not Suspected)",,"Zone 1","Valley Regional","2024","1","72","416","182","371"
"12month_rolling","Obstetrics/Gynaecology","All","McFadgen, Ainsley",,,,,"73","620","32","43"
"2024_q3",,"Brain Surgery  (Pediatric)",,"IWK","IWK","2024","3",,,"72","123"
"2025_q2",,"Bladder Cancer Surgery",,"Zone 4","Dartmouth General","2025","2",,,"33","95"
"12month_rolling","Obstetrics/Gynaecology","All","Nair, Cynthia",,,,,"34","118","28","60"
"2024_q1",,"Cardiovascular Surgery",,"Total","Provincial","2024","1",,,"7","54"
"2024_q3",,"Knee Replacement",,"Zone 3","Cape Breton Regional","2024","3","155","225","113","202"
"12month_rolling","General Surgery","Colorectal Cancer Surgery","Enright, Jonathan Boyde",,,,,"12","27","29","38"
"12month_rolling","Orthopaedic","Shoulder Arthroscopy","El-Tahan, Tahmir H.",,,,,"178","574","119","247"
"12month_rolling",,"Amputations",,"Zone 1","South Shore Regional","2025","2",,,"15","99"
"12month_rolling","General Surgery","Hernia Repair - Inguinal/Femoral","Wasserman, Lukas",,,,,"122","165","253","410"
"12month_rolling","Thoracic Surgery","Esophagectomy / Esophageal Surgery","Mujoomdar, Aneil Arvind",,,,,"8","13","32","51"
"2025_q2",,"Septoplasty",,"Zone 4","Hants Community Hospital","2025","2","142","235","102","172"
"2025_q1",,"Colorectal Cancer Surgery",,"Zone 4","Dartmouth General","2025","1","18","79","32","87"
"2023_q3",,"Male Reproductive System Surgery",,"Zone 2","Colchester East Hants Health Centre","2023","3","113","204","53","692"
"2024_q4",,"Removal of Ovaries and/or Fallopian Tubes  (Cancer Suspected or Proven)",,"Total","Provincial","2024","4","13","37","36","55"
"3month_rolling",,"Septoplasty",,"Zone 4","Dartmouth General","2025","2","73","250","172","581"
"2023_q3",,"Shoulder Arthroscopy",,"Zone 3","Cape Breton Regional","2023","3","141","202","56","81"
"2023_q3",,"Wound Management",,"Total","Provincial","2023","3",,,"13","64"
"12month_rolling","Obstetrics/Gynaecology","Hysterectomy  (Cancer Not Suspected)","Nee, Brigid",,,,,"103","381","255","356"
"2025_q2",,"Prostate Surgery - Laparoscopic",,"Zone 4","QE2","2025","2","28","55","75","171"
"2024_q1",,"Foot - Bunionectomy",,"Total","Provincial","2024","1",,,"126","167"
"2024_q2",,"Septoplasty",,"Zone 4","Dartmouth General","2024","2","96","146","151","423"
"2024_q2",,"Hernia Repair - Ventral",,"Total","Provincial","2024","2","58","327","114","324"
"12month_rolling","Oral Maxillofacial","Dental Extractions and Restorations  (Adult)","Bourget, Louis",,,,,"32","148","58","89"
"12month_rolling","Thoracic Surgery","Lung Surgery","Plourde, Madelaine M",,,,,"33","105","22","58"
"2024_q4",,"Hernia Repair  (Pediatric)",,"Total","Provincial","2024","4","64","153","71","204"
"2024_q2",,"Whipple Procedures",,"Total","Provincial","2024","2","13","19","18","29"
"12month_rolling","Orthopaedic","Back Surgery  (Adult)","Morash, Kevin",,,,,"131","175","660","922"
"2025_q1",,"Lung Cancer Surgery",,"Total","Provincial","2025","1","26","70","29","60"
"2024_q1",,"Hernia Repair - Umbilical",,"Zone 4","QE2","2024","1","23","311",,
"12month_rolling","Oral Maxillofacial","Maxillofacial Deformity Surgery","Brady, James",,,,,"532","636","233","478"
"12month_rolling",,"Male Reproductive System Surgery",,"Zone 1","Valley Regional","2025","2","34","112","96","266"
"12month_rolling","Ophthalmology","Glaucoma (Eye Pressure Lowering Surgery)","Eadie, Brennan",,,,,"27","246","25","56"
"2023_q3",,"Back Surgery  (Pediatric)",,"IWK","IWK","2023","3",,,"360","720"
"2024_q3",,"Shoulder Arthroscopy",,"Zone 1","Valley Regional","2024","3","108","247","100","258"
"2024_q1",,"Endarterectomy",,"Zone 4","QE2","2024","1",,,"17","67"
"3month_rolling",,"Gallbladder Surgery",,"Zone 4","Hants Community Hospital","2025","2","14","207","33","129"
"3month_rolling",,"Sinus Surgery",,"Total","Provincial","2025","2","70","189","97","443"
"2024_q1",,"Liver Surgery",,"Zone 4","QE2","2024","1","15","53","16","74"
"2024_q2",,"Hernia Repair  (Adult)",,"Zone 3","Glace Bay","2024","2","323","665",,
"2023_q2",,"Sacral Nerve Stimulation",,"Zone 4","QE2","2023","2",,,"100","188"
"2025_q1",,"Lung Surgery",,"Zone 4","QE2","2025","1","26","70","29","60"
"2025_q1",,"Colorectal Cancer Surgery",,"Zone 1","Valley Regional","2025","1","28","78","39","71"
"12month_rolling","Ophthalmology","Glaucoma (Eye Pressure Lowering Surgery)","Nicolela, Marcelo",,,,,"59","190","29","98"
"2025_q2",,"Gastrointestinal Tract Surgery",,"Zone 1","Valley Regional","2025","2","140","579","77","148"
"12month_rolling",,"Hernia Repair - Laparoscopic Inguinal Femoral",,"Zone 2","Colchester East Hants Health Centre","2025","2","188","336","256","376"
"2023_q3",,"Knee Replacement",,"Zone 2","Aberdeen Hospital","2023","3","216","378","43","167"
"2025_q2",,"Hernia Repair - Inguinal/Femoral",,"Zone 1","Yarmouth Regional","2025","2","75","146","74","126"
"2023_q2",,"Breast Reduction Surgery",,"Zone 4","QE2","2023","2","1114","1401","64","302"
"2024_q3",,"Hysterectomy  (Cancer Not Suspected)",,"Zone 3","St. Martha's Regional","2024","3","313","1023","182","335"
"2024_q3",,"Breast Cancer Surgery",,"Zone 2","Aberdeen Hospital","2024","3","17","43","18","39"
"12month_rolling",,"Hernia Repair - Umbilical",,"Zone 1","Valley Regional","2025","2","98","453","75","226"
"2025_q1",,"Female Incontinence Surgery",,"Zone 4","QE2","2025","1",,,"105","193"
"12month_rolling","Orthopaedic","All","Sequeira, Stanislaus",,,,,"137","234","321","570"
"12month_rolling",,"Sternotomy / Thoracotomy",,"Total","Provincial","2025","2","15","45","15","55"
"12month_rolling","Urology","Cystoscopy","Himmelman, Jeffrey George",,,,,"140","140","38","283"
"2024_q1",,"Palmar Fascia Excision for Dupuytren's Disease",,"Zone 3","St. Martha's Regional","2024","1","67","159",,
"12month_rolling","Ophthalmology","Cataract Surgery","Gao, Jennifer",,,,,"78","155","97","159"
"2024_q1",,"Prostate Surgery",,"Total","Provincial","2024","1","38","190","78","392"
"12month_rolling",,"Peritoneal Lavage or Catherization",,"Zone 4","QE2","2025","2","21","34","18","53"
"2024_q3",,"Male Reproductive System Surgery",,"IWK","IWK","2024","3","93","187","160","550"
"2023_q3",,"Hysteroscopy",,"Zone 2","Colchester East Hants Health Centre","2023","3","63","330","65","282"
"12month_rolling","Obstetrics/Gynaecology","Hysteroscopy","Pierce, Marianne",,,,,"39","154","48","81"
"2025_q1",,"Gastric Surgery - Laparoscopic",,"Zone 4","QE2","2025","1","92","245","50","337"
"2023_q2",,"Vitreoretinal Diseases",,"Zone 4","QE2","2023","2","34","236","15","98"
"2024_q1",,"Gallbladder Surgery",,"Zone 2","Cumberland Regional","2024","1","35","91","45","105"
"3month_rolling",,"Knee Scope",,"Zone 3","Cape Breton Regional","2025","2","111","164","146","513"
"12month_rolling",,"Nerve or Brain Stimulation",,"Total","Provincial","2025","2","21","210","29","74"
"12month_rolling","Urology","Female Incontinence Surgery","Puthenparumpil, Jacob",,,,,"201","243","214","350"
"2024_q3",,"Gastrointestinal Tract Surgery",,"Zone 2","Aberdeen Hospital","2024","3",,,"29","64"
"2024_q1",,"Shoulder Arthroscopy",,"Zone 4","Dartmouth General","2024","1","72","170","118","686"
"12month_rolling",,"Prostate Surgery",,"Zone 2","Colchester East Hants Health Centre","2025","2","37","142","195","442"
"2024_q1",,"Tonsillectomy and/or Adenoidectomy  (Pediatric)",,"Zone 1","South Shore Regional","2024","1","226","253","47","141"
"12month_rolling","Obstetrics/Gynaecology","All","Okuboyejo, Fazil",,,,,"52","293","56","106"
"12month_rolling","Orthopaedic","Hip Replacement","Howatt, Jonathan",,,,,"355","468","511","629"
"12month_rolling",,"Bowel Resection - Open",,"Zone 2","Aberdeen Hospital","2025","2","30","137","27","60"
"2024_q2",,"Hip Replacement",,"Total","Provincial","2024","2","161","413","129","537"
"2025_q1",,"Prostatectomy",,"Total","Provincial","2025","1","24","55","97","161"
"12month_rolling","General Surgery","Colorectal Cancer Surgery","Yaffe, Paul",,,,,"25","260","40","61"
"12month_rolling","General Surgery","Hernia Repair - Umbilical","Murphy, Christopher",,,,,"84","117","106","168"
"2024_q3",,"Hernia Repair - Inguinal/Femoral",,"Zone 4","Hants Community Hospital","2024","3","232","262","30","113"
"2024_q2",,"Knee Scope",,"Zone 3","Cape Breton Regional","2024","2","42","128","71","163"
"2025_q1",,"Septoplasty",,"Zone 3","St. Martha's Regional","2025","1","191","273","102","117"
"3month_rolling",,"Hysterectomy  (Cancer Not Suspected)",,"Zone 1","South Shore Regional","2025","2","112","201","87","136"
"12month_rolling",,"Hernia Repair - Laparoscopic Inguinal Femoral",,"Zone 2","Cumberland Regional","2025","2","38","136","80","111"
"2024_q3",,"Knee Replacement",,"Total","Provincial","2024","3","189","575","137","444"
"2024_q2",,"Breast Cancer Surgery",,"Zone 1","Yarmouth Regional","2024","2","14","40","27","68"
"2024_q4",,"Pancreas Surgery",,"Total","Provincial","2024","4","15","28","30","69"
"2023_q3",,"Nissen Fundoplication - Laparoscopic",,"Total","Provincial","2023","3","72","476","170","486"
"3month_rolling",,"Hernia Repair  (Adult)",,"Zone 1","South Shore Regional","2025","2","47","140","34","115"
"2024_q3",,"Prostatectomy",,"Total","Provincial","2024","3","39","155","150","242"
"2024_q3",,"Removal of Ovaries and/or Fallopian Tubes  (Cancer Not Suspected)",,"Zone 3","Cape Breton Regional","2024","3","96","225","175","252"
"2024_q2",,"Dental Extractions and Restorations  (Adult)",,"Zone 4","QE2","2024","2","100","333","126","827"
"3month_rolling",,"Hernia Repair - Incisional",,"Total","Provincial","2025","2","52","350","89","321"
"12month_rolling","Obstetrics/Gynaecology","All","Parr, Grace",,,,,"119","520","55","137"
"2023_q3",,"Colorectal Cancer Surgery",,"Zone 4","QE2","2023","3","20","238","29","63"
"3month_rolling",,"Removal of Ovaries and/or Fallopian Tubes  (Cancer Suspected or Proven)",,"Total","Provincial","2025","2","38","144","31","54"
"2024_q3",,"Tonsillectomy and/or Adenoidectomy  (Adult)",,"Zone 4","Dartmouth General","2024","3",,,"47","62"
"2023_q2",,"Knee Scope with ACL Repair",,"Zone 4","QE2","2023","2","134","204","130","278"
"2024_q3",,"Male Reproductive System Surgery",,"Zone 3","Cape Breton Regional","2024","3","40","159","36","192"
"2025_q2",,"Craniotomy or Craniectomy",,"Total","Provincial","2025","2",,,"37","75"
"2023_q4",,"Hernia Repair  (Adult)",,"Zone 3","St. Martha's Regional","2023","4","14","93","179","357"
"12month_rolling",,"Esophagoscopy",,"IWK","IWK","2025","2",,,"43","122"
"2024_q1",,"Hysteroscopy",,"Zone 4","Dartmouth General","2024","1","33","122","49","157"
"2024_q1",,"Strabismus Surgery  (Adult)",,"Total","Provincial","2024","1","132","498","78","140"
"2023_q4",,"Video-Assisted Thoracic Surgery",,"Total","Provincial","2023","4","27","64","37","97"
"3month_rolling",,"Breast Cancer Surgery",,"Zone 2","Cumberland Regional","2025","2","8","27","30","32"
"2023_q3",,"Colorectal Cancer Surgery",,"Zone 3","Cape Breton Regional","2023","3","23","43","25","44"
"12month_rolling","Ophthalmology","All","Zaki, Amr M",,,,,"85","427","59","179"
"12month_rolling","General Surgery","All","Watson-Jessome, Jane",,,,,"114","281","40","147"
"12month_rolling","Ophthalmology","All","Dahrab, Mishari M",,,,,"167","525","137","317"
"3month_rolling",,"Hysterectomy  (Cancer Suspected or Proven)",,"Zone 1","Valley Regional","2025","2",,,"80","134"
"2023_q2",,"Gastrointestinal Tract Surgery",,"Total","Provincial","2023","2","27","166","44","188"
"2024_q3",,"Spinal Cord Stimulation Surgery",,"Zone 4","QE2","2024","3",,,"93","120"
