busstopid,stopnumber,location,accessible,status,has_shelter,lat,lon
BS1727,7077,Lacewood Dr Before Dunbrack St (7077),1,INS,0,44.663483,-63.653798
BS1728,7078,Lacewood Dr Before Dunbrack St (7078),1,INS,1,44.662427,-63.655935
BS1729,7079,Titus St Before Evans Ave (7079),1,INS,0,44.660643,-63.635487
BS173,6474,Cole Harbour Rd After Caldwell Rd (6474),1,INS,0,44.671122,-63.500291
BS1730,7080,Lacewood Dr Before Parkland Dr (7080),1,INS,1,44.659015,-63.668768
BS1731,7081,Lacewood Dr After Parkland Dr (7081),1,INS,1,44.658914,-63.668732
BS1732,7082,Lacewood Dr Before Willett St (7082),1,INS,1,44.662031,-63.658639
BS1733,7083,Lacewood Dr Before Glenforest Dr (7083),1,INS,0,44.661248,-63.638294
BS1734,7084,Lacewood Dr At Braeside Ln (7084),1,INS,1,44.661508,-63.640607
BS1736,7086,Willett St Before Lacewood Dr(7086),1,INS,1,44.661534,-63.657249
BS1738,7088,Lady Hammond Rd Opposite Basinview Dr (7088),1,INS,1,44.665171,-63.61529
BS1739,8210,Robie St Before May St (8210),1,INS,0,44.65608,-63.596779
BS174,6475,Cole Harbour Rd After Armbro Ln (6475),1,INS,1,44.6721,-63.485842
