"uid","project_number","civic_address","community","number_of_units","pid","housing_authority","county","municipality","x_coordina","y_coordina","location_1"
"1213","1308","26 Gillis Lane","Dominion","1","15563075","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.00641998","46.21806726","(46.21806726, -60.00641998)"
"1214","1308","28 Gillis Lane","Dominion","1","15563083","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.00645091","46.21791883","(46.21791883, -60.00645091)"
"1215","1309","69 Brook St","Dominion","1","15378441","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.02277939","46.21014058","(46.21014058, -60.02277939)"
"1216","1402","38 Riverdale St","Louisbourg","1","15457922","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-59.98132496","45.92102838","(45.92102838, -59.98132496)"
"1217","1403","17 Elwood St","Louisbourg","1","15618986","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-59.97641802","45.92032035","(45.92032035, -59.97641802)"
"1218","1501","12 Cashin Cres","Scotchtown","1","15272073","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.10404649","46.24152811","(46.24152811, -60.10404649)"
"1219","1501","24 Cashin Cres","Scotchtown","1","15272073","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.10419023","46.2413258","(46.2413258, -60.10419023)"
"1220","1501","16 Cashin Cres","Scotchtown","1","15272073","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.10409245","46.24149522","(46.24149522, -60.10409245)"
"1221","1501","28 Cashin Cres","Scotchtown","1","15272073","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.10421115","46.24128008","(46.24128008, -60.10421115)"
"1222","1501","36 Cashin Cres","Scotchtown","1","15272073","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.10427014","46.24113001","(46.24113001, -60.10427014)"
"1223","1501","40 Cashin Cres","Scotchtown","1","15272073","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.10429668","46.2410889","(46.2410889, -60.10429668)"
"1224","1501","11 Cashin Cres","Scotchtown","1","15272073","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.10449867","46.24174164","(46.24174164, -60.10449867)"
"1225","1501","15 Cashin Cres","Scotchtown","1","15272073","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.10450461","46.24169396","(46.24169396, -60.10450461)"
"1226","1501","23 Cashin Cres","Scotchtown","1","15272073","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.10464734","46.24154735","(46.24154735, -60.10464734)"
"1227","1501","27 Cashin Cres","Scotchtown","1","15272073","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.10470079","46.24151065","(46.24151065, -60.10470079)"
"1228","1503","5 Macguire Dr","Grand Lake Road","1","15225071","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.15003399","46.1463682","(46.1463682, -60.15003399)"
"1229","1503","7 Macguire Dr","Grand Lake Road","1","15225063","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.14998727","46.14620606","(46.14620606, -60.14998727)"
"1230","1503","3 Macguire Dr","Grand Lake Road","1","15225071","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.15001981","46.14641626","(46.14641626, -60.15001981)"
"1231","1503","9 Macguire Dr","Grand Lake Road","1","15225063","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.1500194","46.14612138","(46.14612138, -60.1500194)"
"1232","1503","11 Macguire Dr","Grand Lake Road","1","15225055","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.15011678","46.14599084","(46.14599084, -60.15011678)"
"1233","1503","13 Macguire Dr","Grand Lake Road","1","15225055","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.15014032","46.14594285","(46.14594285, -60.15014032)"
"1234","1503","21 Macguire Dr","Grand Lake Road","1","15225014","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.15047366","46.14528093","(46.14528093, -60.15047366)"
"1235","1503","23 Macguire Dr","Grand Lake Road","1","15225014","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.15050561","46.14524826","(46.14524826, -60.15050561)"
"1236","1503","27 Macguire Dr","Grand Lake Road","1","15224991","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.15064883","46.1449035","(46.1449035, -60.15064883)"
"1237","1503","29 Macguire Dr","Grand Lake Road","1","15224991","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.15070046","46.14483464","(46.14483464, -60.15070046)"
"1238","1503","31 Macguire Dr","Grand Lake Road","1","15224983","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.15072758","46.14471095","(46.14471095, -60.15072758)"
"1239","1503","33 Macguire Dr","Grand Lake Road","1","15224983","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.15075612","46.14465204","(46.14465204, -60.15075612)"
"1240","1503","35 Macguire Dr","Grand Lake Road","1","15224975","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.150828","46.14450355","(46.14450355, -60.150828)"
"1241","1503","4 Macguire Dr","Grand Lake Road","1","15224611","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.15053836","46.14641135","(46.14641135, -60.15053836)"
"1242","1503","37 Macguire Dr","Grand Lake Road","1","15224975","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.15085442","46.14443232","(46.14443232, -60.15085442)"
"1243","1503","6 Macguire Dr","Grand Lake Road","1","15224611","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.15054421","46.14636443","(46.14636443, -60.15054421)"
"1244","1503","8 Macguire Dr","Grand Lake Road","1","15224629","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.15061725","46.1461951","(46.1461951, -60.15061725)"
"1245","1503","10 Macguire Dr","Grand Lake Road","1","15224629","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.15065414","46.14615261","(46.14615261, -60.15065414)"
"1246","1503","12 Macguire Dr","Grand Lake Road","1","15224637","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.15075845","46.14597838","(46.14597838, -60.15075845)"
"1247","1503","16 Macguire Dr","Grand Lake Road","1","15224645","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.1508102","46.14578591","(46.14578591, -60.1508102)"
"1248","1503","14 Macguire Dr","Grand Lake Road","1","15224637","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.15076656","46.14593307","(46.14593307, -60.15076656)"
"1249","1503","18 Macguire Dr","Grand Lake Road","1","15224645","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.15083042","46.14572935","(46.14572935, -60.15083042)"
"1250","1503","24 Macguire Dr","Grand Lake Road","1","15224678","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.15108946","46.14524161","(46.14524161, -60.15108946)"
"1251","1503","30 Macguire Dr","Grand Lake Road","1","15224694","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.1512688","46.14486253","(46.14486253, -60.1512688)"
"1252","1503","26 Macguire Dr","Grand Lake Road","1","15224678","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.15111114","46.14519729","(46.14519729, -60.15111114)"
"1253","1503","32 Macguire Dr","Grand Lake Road","1","15224694","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.15129732","46.1448024","(46.1448024, -60.15129732)"
"1254","1503","34 Macguire Dr","Grand Lake Road","1","15224702","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.15137901","46.14466142","(46.14466142, -60.15137901)"
"1255","1503","36 Macguire Dr","Grand Lake Road","1","15224702","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.15140747","46.14460413","(46.14460413, -60.15140747)"
"1256","1503","38 Macguire Dr","Grand Lake Road","1","15224710","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.15144387","46.1444368","(46.1444368, -60.15144387)"
"1257","1503","40 Macguire Dr","Grand Lake Road","1","15224710","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.15147217","46.14438729","(46.14438729, -60.15147217)"
"1258","1504","96 Sunnydale Dr","Westmount","1","15204928","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.21389538","46.14034952","(46.14034952, -60.21389538)"
"1259","1504","98 Sunnydale Dr","Westmount","1","15204928","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.2139805","46.14030109","(46.14030109, -60.2139805)"
"1260","1504","102 Sunnydale Dr","Westmount","1","15204928","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.214207","46.14019294","(46.14019294, -60.214207)"
"1261","1504","100 Sunnydale Dr","Westmount","1","15204928","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.21412601","46.14023066","(46.14023066, -60.21412601)"
"1262","1504","104 Sunnydale Dr","Westmount","1","15204928","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.2143758","46.14011646","(46.14011646, -60.2143758)"
"1263","1504","106 Sunnydale Dr","Westmount","1","15204928","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.21442409","46.14009724","(46.14009724, -60.21442409)"
"1264","1504","108 Sunnydale Dr","Westmount","1","15204928","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.21458967","46.1400019","(46.1400019, -60.21458967)"
"1265","1504","110 Sunnydale Dr","Westmount","1","15204928","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.21468631","46.13995538","(46.13995538, -60.21468631)"
"1266","1504","112 Sunnydale Dr","Westmount","1","15204928","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.21484435","46.13989502","(46.13989502, -60.21484435)"
"1267","1504","114 Sunnydale Dr","Westmount","1","15204928","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.21490079","46.13986513","(46.13986513, -60.21490079)"
"1268","1504","116 Sunnydale Dr","Westmount","1","15204928","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.2150945","46.1397656","(46.1397656, -60.2150945)"
"1269","1504","120 Sunnydale Dr","Westmount","1","15204928","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.21529418","46.13964366","(46.13964366, -60.21529418)"
"1270","1504","118 Sunnydale Dr","Westmount","1","15204928","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.21515754","46.13972401","(46.13972401, -60.21515754)"
"1271","1504","122 Sunnydale Dr","Westmount","1","15204928","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.21536115","46.13960037","(46.13960037, -60.21536115)"
"1272","1504","124 Sunnydale Dr","Westmount","1","15204928","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.21553838","46.13949439","(46.13949439, -60.21553838)"
"1273","1504","126 Sunnydale Dr","Westmount","1","15204928","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.21560227","46.13947085","(46.13947085, -60.21560227)"
"1274","1504","128 Sunnydale Dr","Westmount","1","15204928","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.21576249","46.13937724","(46.13937724, -60.21576249)"
"1275","1504","130 Sunnydale Dr","Westmount","1","15204928","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.21580878","46.1393346","(46.1393346, -60.21580878)"
"1276","1504","132 Sunnydale Dr","Westmount","1","15204928","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.21600894","46.13924784","(46.13924784, -60.21600894)"
"1277","1504","134 Sunnydale Dr","Westmount","1","15204928","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.21606587","46.13920157","(46.13920157, -60.21606587)"
"1278","1505","6 Shore Rd","Florence","1","15242712","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.25487813","46.26214237","(46.26214237, -60.25487813)"
"1279","1505","8 Shore Rd","Florence","1","15242712","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.25480756","46.26218467","(46.26218467, -60.25480756)"
"1280","1505","14 Shore Rd","Florence","1","15242712","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.25462413","46.26235297","(46.26235297, -60.25462413)"
"1281","1505","18 Shore Rd","Florence","1","15242712","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.2544671","46.2624907","(46.2624907, -60.2544671)"
"1282","1505","12 Shore Rd","Florence","1","15242712","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.25466711","46.26229426","(46.26229426, -60.25466711)"
"1283","1505","20 Shore Rd","Florence","1","15242712","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.25439197","46.26253556","(46.26253556, -60.25439197)"
"1284","1505","28 Shore Rd","Florence","1","15242712","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.25419009","46.26269395","(46.26269395, -60.25419009)"
"1285","1507","1 First Ave","Florence","1","15244585","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.26414466","46.25989404","(46.25989404, -60.26414466)"
"1286","1505","26 Shore Rd","Florence","1","15242712","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.25425655","46.26266835","(46.26266835, -60.25425655)"
"1287","1507","3 First Ave","Florence","1","15244585","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.26421261","46.25992949","(46.25992949, -60.26421261)"
"1288","1507","11 First Ave","Florence","1","15244577","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.26436469","46.26009079","(46.26009079, -60.26436469)"
"1289","1507","13 First Ave","Florence","1","15244569","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.26449252","46.26018038","(46.26018038, -60.26449252)"
"1290","1507","9 First Ave","Florence","1","15244577","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.26429972","46.26006785","(46.26006785, -60.26429972)"
"1291","1507","15 First Ave","Florence","1","15244569","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.26455266","46.26021948","(46.26021948, -60.26455266)"
"1292","1507","84 Shore Rd","Florence","1","15242829","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.25165589","46.26383787","(46.26383787, -60.25165589)"
"1293","1507","82 Shore Rd","Florence","1","15242829","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.25175457","46.26381333","(46.26381333, -60.25175457)"
"1294","1507","90 Shore Rd","Florence","1","15242829","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.25140404","46.26394472","(46.26394472, -60.25140404)"
"1295","1507","92 Shore Rd","Florence","1","15242829","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.25128331","46.26396465","(46.26396465, -60.25128331)"
"1296","1529","25 Crystal Dr","Florence","1","15253479","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.26801419","46.25388729","(46.25388729, -60.26801419)"
"1297","1529","50 Lorway Ave","Reserve Mines","1","15230980","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.01601649","46.17846865","(46.17846865, -60.01601649)"
"1298","1529","88 Pitt St","Florence","1","15242571","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.25853576","46.25885256","(46.25885256, -60.25853576)"
"1299","1529","56 Lorway Ave","Reserve Mines","1","15039456","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.01604752","46.17827716","(46.17827716, -60.01604752)"
"1300","1529","92 Pitt St","Florence","1","15242589","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.25848121","46.25895359","(46.25895359, -60.25848121)"
"1301","1529","148 Daley Rd","New Victoria","1","15518855","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.12558672","46.24776993","(46.24776993, -60.12558672)"
"1302","1529","150 Daley Rd","New Victoria","1","15518863","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.1254148","46.24771783","(46.24771783, -60.1254148)"
"1303","1529","123 Birch St","Port Morien","1","15525066","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-59.87689915","46.13682338","(46.13682338, -59.87689915)"
"1304","1529","129 Birch St","Port Morien","1","15525074","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-59.87707132","46.13690678","(46.13690678, -59.87707132)"
"1305","1529","133 Birch St","Port Morien","1","15525082","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-59.87730208","46.1371262","(46.1371262, -59.87730208)"
"1306","1529","90 Haulage Rd","Reserve Mines","1","15524499","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.0104902","46.1863341","(46.1863341, -60.0104902)"
"1307","1532","132 Haulage Rd","Reserve Mines","1","15461205","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.01225053","46.18649505","(46.18649505, -60.01225053)"
"1308","1532","28 Daley Rd","New Victoria","1","15517824","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.14057467","46.25233312","(46.25233312, -60.14057467)"
"1309","1532","699 Neville St","Reserve Mines","1","15233232","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.01089724","46.18807109","(46.18807109, -60.01089724)"
"1310","1529","104 Holland St","Reserve Mines","1","15523772","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.01617445","46.19022196","(46.19022196, -60.01617445)"
"1311","1532","5 Queen St","Scotchtown","1","15007610","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.10248712","46.24012796","(46.24012796, -60.10248712)"
"1312","1532","7 Queen St","Scotchtown","1","15007628","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.10230062","46.24006721","(46.24006721, -60.10230062)"
"1313","1532","9 Munroe St","Reserve Mines","1","15230998","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.01635693","46.17849579","(46.17849579, -60.01635693)"
"1314","1532","12 School St","River Ryan","1","15270432","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.08879314","46.23276027","(46.23276027, -60.08879314)"
"1315","1534","15 Orrin Ave","Bras d'Or","1","15555816","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.28987014","46.25948969","(46.25948969, -60.28987014)"
"1316","1534","39 Orrin Ave","Bras d'Or","1","15555782","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.28835811","46.2593814","(46.2593814, -60.28835811)"
"1317","1536","67 Lorway Ave","Reserve Mines","1","15560055","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.01553577","46.17789575","(46.17789575, -60.01553577)"
"1318","1536","69 Lorway Ave","Reserve Mines","1","15560063","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.01556697","46.17770415","(46.17770415, -60.01556697)"
"1319","1536","71 Lorway Ave","Reserve Mines","1","15230949","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.01556542","46.17752431","(46.17752431, -60.01556542)"
"1320","1536","28 Belgium St","Reserve Mines","1","15234081","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.01254782","46.19016918","(46.19016918, -60.01254782)"
"1321","1536","14 Walters Lane","Grand Lake Road","1","15225964","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.14626365","46.14643359","(46.14643359, -60.14626365)"
"1322","1536","692 Neville St","Reserve Mines","1","15234297","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.01107968","46.18854246","(46.18854246, -60.01107968)"
"1323","1536","15 North St","Donkin","1","15567233","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-59.87692291","46.18209432","(46.18209432, -59.87692291)"
"1324","1536","694 Neville St","Reserve Mines","1","15234297","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.01113908","46.18852112","(46.18852112, -60.01113908)"
"1325","1539","101 Holland St","Reserve Mines","1","15523798","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.01601378","46.18989157","(46.18989157, -60.01601378)"
"1326","1539","107 Holland St","Reserve Mines","1","15561905","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.01627467","46.18983464","(46.18983464, -60.01627467)"
"1327","1539","103 Holland St","Reserve Mines","1","15523798","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.01608845","46.18988022","(46.18988022, -60.01608845)"
"1328","1541","399 Caribou Marsh Rd","Caribou Marsh","1","15293558","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.18791154","46.04540614","(46.04540614, -60.18791154)"
"1329","1534","8 Pentecost Dr","Westmount","1","15556053","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.21979555","46.13521247","(46.13521247, -60.21979555)"
"1330","1541","625 Centerville St","Gardiner Mines","1","15238124","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.05355779","46.19778841","(46.19778841, -60.05355779)"
"1331","1541","83 Holland St","Reserve Mines","1","15233919","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.01525766","46.19002471","(46.19002471, -60.01525766)"
"1332","1541","16 Phillip St","Sydney River","1","15557028","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.21902923","46.10428488","(46.10428488, -60.21902923)"
"1333","1534","10 Pentecost Dr","Westmount","1","15556046","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.21987017","46.13516376","(46.13516376, -60.21987017)"
"1334","1544","690 Neville St","Reserve Mines","1","15234289","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.01098206","46.18853589","(46.18853589, -60.01098206)"
"1335","1544","688 Neville St","Reserve Mines","1","15234289","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.01094537","46.18854109","(46.18854109, -60.01094537)"
"1336","1541","14 Pentecost Dr","Westmount","1","15354442","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.2200194","46.13506635","(46.13506635, -60.2200194)"
"1337","1541","16 Pentecost Dr","Westmount","1","15354277","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.22009613","46.13501517","(46.13501517, -60.22009613)"
"1338","1541","21 Mackies Lane","Reserve Mines","1","15506702","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.06264571","46.19747098","(46.19747098, -60.06264571)"
"1339","1554","4 Thomas St","Scotchtown","1","15272545","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.10224793","46.24112604","(46.24112604, -60.10224793)"
"1340","1554","6 Thomas St","Scotchtown","1","15573710","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.1020511","46.24107862","(46.24107862, -60.1020511)"
"1341","1555","195 Glencairn Ave","Westmount","1","15578354","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.22065757","46.13926562","(46.13926562, -60.22065757)"
"1342","1555","201 Glencairn Ave","Westmount","1","15578370","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.22080193","46.13917644","(46.13917644, -60.22080193)"
"1343","1556","41 MacKenzie Lane","Gardiner Mines","1","15236193","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.0465533","46.20794467","(46.20794467, -60.0465533)"
"1344","1555","215 Glencairn Ave","Westmount","1","15206717","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.22096633","46.13910571","(46.13910571, -60.22096633)"
"1345","1555","100 Tompkinsville Rd","Reserve Mines","1","15524275","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.02766642","46.18294128","(46.18294128, -60.02766642)"
"1346","1559","44 King St","Scotchtown","1","15275324","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.09749937","46.2378082","(46.2378082, -60.09749937)"
"1347","1559","11 David St","River Ryan","1","15583594","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.09129192","46.23382104","(46.23382104, -60.09129192)"
"1348","1558","1255 Westmount Rd","Westmount","1","15578479","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.2300443","46.14529794","(46.14529794, -60.2300443)"
"1349","1566","3 Fortune St","Scotchtown","1","15631724","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.10760873","46.24016547","(46.24016547, -60.10760873)"
"1350","1558","2894 Grand Mira North Rd","Marion Bridge","1","15336290","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.22866396","45.97980333","(45.97980333, -60.22866396)"
"1351","1601","154 Peppett St","North Sydney","1","15022189","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.26490185","46.21187507","(46.21187507, -60.26490185)"
"1352","1601","156 Peppett St","North Sydney","1","15022189","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.26498959","46.21191355","(46.21191355, -60.26498959)"
"1353","1601","160 Peppett St","North Sydney","1","15022189","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.26518916","46.21201456","(46.21201456, -60.26518916)"
"1354","1601","158 Peppett St","North Sydney","1","15022189","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.26512419","46.21197262","(46.21197262, -60.26512419)"
"1355","1601","164 Peppett St","North Sydney","1","15022189","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.26540286","46.21209232","(46.21209232, -60.26540286)"
"1356","1601","2 Hare Ave","North Sydney","1","15022189","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.26558742","46.21203531","(46.21203531, -60.26558742)"
"1357","1601","4 Hare Ave","North Sydney","1","15022189","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.26563286","46.21198183","(46.21198183, -60.26563286)"
"1358","1601","162 Peppett St","North Sydney","1","15022189","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.26532886","46.21207213","(46.21207213, -60.26532886)"
"1359","1601","6 Hare Ave","North Sydney","1","15022189","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.26570818","46.21184393","(46.21184393, -60.26570818)"
"1360","1601","8 Hare Ave","North Sydney","1","15022189","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.26573736","46.2117957","(46.2117957, -60.26573736)"
