program_type,source_id,county,municipality,community,property_label,housing_authority,units,latitude,longitude
Families,1130,Cape Breton,Cape Breton Regional Municipality,New Waterford,426 Anniversary St,Cape Breton Island Housing Authority,1,46.24790221,-60.07794886
Families,1131,Cape Breton,Cape Breton Regional Municipality,New Waterford,427 Anniversary St,Cape Breton Island Housing Authority,1,46.24793017,-60.07842852
Families,1132,Cape Breton,Cape Breton Regional Municipality,New Waterford,429 Anniversary St,Cape Breton Island Housing Authority,1,46.24780601,-60.07851151
Families,1133,Cape Breton,Cape Breton Regional Municipality,New Waterford,430 Anniversary St,Cape Breton Island Housing Authority,1,46.24768923,-60.07802644
Families,1134,Cape Breton,Cape Breton Regional Municipality,New Waterford,431 Anniversary St,Cape Breton Island Housing Authority,1,46.24776056,-60.0785476
Families,1135,Cape Breton,Cape Breton Regional Municipality,New Waterford,432 Anniversary St,Cape Breton Island Housing Authority,1,46.24763991,-60.07806323
Families,1136,Cape Breton,Cape Breton Regional Municipality,New Waterford,722 Larch St,Cape Breton Island Housing Authority,1,46.24127925,-60.0914882
Families,1137,Cape Breton,Cape Breton Regional Municipality,New Waterford,723 Larch St,Cape Breton Island Housing Authority,1,46.24140218,-60.09194068
Families,1138,Cape Breton,Cape Breton Regional Municipality,New Waterford,724 Larch St,Cape Breton Island Housing Authority,1,46.24121963,-60.09149269
Families,1139,Cape Breton,Cape Breton Regional Municipality,New Waterford,725 Larch St,Cape Breton Island Housing Authority,1,46.24134702,-60.09197232
Families,1140,Cape Breton,Cape Breton Regional Municipality,New Waterford,726 Larch St,Cape Breton Island Housing Authority,1,46.24108974,-60.0915267
Families,1141,Cape Breton,Cape Breton Regional Municipality,New Waterford,727 Larch St,Cape Breton Island Housing Authority,1,46.2412016,-60.0920218
Families,1142,Cape Breton,Cape Breton Regional Municipality,New Waterford,728 Larch St,Cape Breton Island Housing Authority,1,46.2410272,-60.09156074
Families,1143,Cape Breton,Cape Breton Regional Municipality,New Waterford,729 Larch St,Cape Breton Island Housing Authority,1,46.24116875,-60.0920645
Families,1144,Cape Breton,Cape Breton Regional Municipality,New Waterford,730 Larch St,Cape Breton Island Housing Authority,1,46.24089498,-60.09164245
Families,1145,Cape Breton,Cape Breton Regional Municipality,New Waterford,731 Larch St,Cape Breton Island Housing Authority,1,46.24103149,-60.09212862
Families,1146,Cape Breton,Cape Breton Regional Municipality,New Waterford,732 Larch St,Cape Breton Island Housing Authority,1,46.24085965,-60.09166751
Families,1147,Cape Breton,Cape Breton Regional Municipality,New Waterford,733 Larch St,Cape Breton Island Housing Authority,1,46.24099575,-60.09214902
Families,1148,Cape Breton,Cape Breton Regional Municipality,New Waterford,734 Larch St,Cape Breton Island Housing Authority,1,46.24072732,-60.09174269
Families,1149,Cape Breton,Cape Breton Regional Municipality,New Waterford,735 Larch St,Cape Breton Island Housing Authority,1,46.24085011,-60.09220572
Families,1150,Cape Breton,Cape Breton Regional Municipality,New Waterford,736 Larch St,Cape Breton Island Housing Authority,1,46.24067608,-60.09176818
Families,1151,Cape Breton,Cape Breton Regional Municipality,New Waterford,737 Larch St,Cape Breton Island Housing Authority,1,46.24078768,-60.09224847
Families,1152,Cape Breton,Cape Breton Regional Municipality,New Waterford,744 Larch St,Cape Breton Island Housing Authority,1,46.24035489,-60.0918757
Families,1153,Cape Breton,Cape Breton Regional Municipality,New Waterford,746 Larch St,Cape Breton Island Housing Authority,1,46.24030065,-60.09195235
Families,1154,Cape Breton,Cape Breton Regional Municipality,New Waterford,748 Larch St,Cape Breton Island Housing Authority,1,46.24015723,-60.0919962
Families,1155,Cape Breton,Cape Breton Regional Municipality,New Waterford,750 Larch St,Cape Breton Island Housing Authority,1,46.24010935,-60.09202805
Families,1156,Cape Breton,Cape Breton Regional Municipality,New Waterford,752 Larch St,Cape Breton Island Housing Authority,1,46.23996019,-60.09209724
Families,1157,Cape Breton,Cape Breton Regional Municipality,New Waterford,754 Larch St,Cape Breton Island Housing Authority,1,46.23988815,-60.09212325
Families,1158,Cape Breton,Cape Breton Regional Municipality,New Waterford,756 Larch St,Cape Breton Island Housing Authority,1,46.2397668,-60.09220294
Families,1159,Cape Breton,Cape Breton Regional Municipality,New Waterford,758 Larch St,Cape Breton Island Housing Authority,1,46.23975712,-60.09225857
Families,1160,Cape Breton,Cape Breton Regional Municipality,New Waterford,369 Gibbon St,Cape Breton Island Housing Authority,1,46.25153348,-60.08831326
Families,1161,Cape Breton,Cape Breton Regional Municipality,New Waterford,371 Gibbon St,Cape Breton Island Housing Authority,1,46.25145757,-60.08836059
Families,1162,Cape Breton,Cape Breton Regional Municipality,New Waterford,375 Gibbon St,Cape Breton Island Housing Authority,1,46.25136371,-60.08840836
Families,1163,Cape Breton,Cape Breton Regional Municipality,New Waterford,377 Gibbon St,Cape Breton Island Housing Authority,1,46.25127869,-60.08844947
Families,1164,Cape Breton,Cape Breton Regional Municipality,New Waterford,689 Union St,Cape Breton Island Housing Authority,1,46.24285193,-60.09391137
Families,1165,Cape Breton,Cape Breton Regional Municipality,New Waterford,700 Dominion St,Cape Breton Island Housing Authority,1,46.2432269,-60.09794902
Families,1166,Cape Breton,Cape Breton Regional Municipality,New Waterford,329 McKay St,Cape Breton Island Housing Authority,1,46.24935034,-60.07263101
Families,1167,Cape Breton,Cape Breton Regional Municipality,New Waterford,257 Ling St,Cape Breton Island Housing Authority,1,46.25685772,-60.09737754
Families,1168,Cape Breton,Cape Breton Regional Municipality,New Waterford,331 Cockburn St,Cape Breton Island Housing Authority,1,46.24865929,-60.07168917
Families,1169,Cape Breton,Cape Breton Regional Municipality,New Waterford,335 Cockburn St,Cape Breton Island Housing Authority,1,46.24852063,-60.07175494
Families,1170,Cape Breton,Cape Breton Regional Municipality,New Waterford,336 Arthur St,Cape Breton Island Housing Authority,1,46.2492558,-60.07374277
Families,1171,Cape Breton,Cape Breton Regional Municipality,New Waterford,3521 Murray Ave,Cape Breton Island Housing Authority,1,46.24454878,-60.09466523
Families,1172,Cape Breton,Cape Breton Regional Municipality,New Waterford,3483 Spruce Ave,Cape Breton Island Housing Authority,1,46.25140882,-60.08993235
Families,1173,Cape Breton,Cape Breton Regional Municipality,New Waterford,709 MacDonald St,Cape Breton Island Housing Authority,1,46.24290963,-60.09599739
Families,1174,Cape Breton,Cape Breton Regional Municipality,New Waterford,724 MacDonald St,Cape Breton Island Housing Authority,1,46.24247419,-60.09570487
Families,1175,Cape Breton,Cape Breton Regional Municipality,New Waterford,3517 Murray Ave,Cape Breton Island Housing Authority,1,46.24451201,-60.0944123
Families,1176,Cape Breton,Cape Breton Regional Municipality,New Waterford,401 Heelan St,Cape Breton Island Housing Authority,1,46.25165929,-60.09250583
Families,1177,Cape Breton,Cape Breton Regional Municipality,New Waterford,3544 Ross Ave,Cape Breton Island Housing Authority,1,46.24510043,-60.09526069
Families,1178,Cape Breton,Cape Breton Regional Municipality,New Waterford,405 Heelan St,Cape Breton Island Housing Authority,1,46.25155729,-60.0925592
Families,1179,Cape Breton,Cape Breton Regional Municipality,New Waterford,3203 Miner Ave,Cape Breton Island Housing Authority,1,46.25056087,-60.07892252
Families,1180,Cape Breton,Cape Breton Regional Municipality,New Waterford,3527 Murray Ave,Cape Breton Island Housing Authority,1,46.24459643,-60.09488451
Families,1181,Cape Breton,Cape Breton Regional Municipality,New Waterford,3548 Bay Ave,Cape Breton Island Housing Authority,1,46.25497801,-60.0905685
Families,1182,Cape Breton,Cape Breton Regional Municipality,New Waterford,378 Heelan St,Cape Breton Island Housing Authority,1,46.25231026,-60.09200497
Families,1183,Cape Breton,Cape Breton Regional Municipality,New Waterford,362 McKay St,Cape Breton Island Housing Authority,1,46.24828784,-60.07271221
Families,1184,Cape Breton,Cape Breton Regional Municipality,Glace Bay,59 MacNamara St,Cape Breton Island Housing Authority,1,46.21319893,-59.98086048
Families,1185,Cape Breton,Cape Breton Regional Municipality,New Waterford,366 McKay St,Cape Breton Island Housing Authority,1,46.24815128,-60.07279831
Families,1186,Cape Breton,Cape Breton Regional Municipality,New Waterford,3385 Ellsworth Ave,Cape Breton Island Housing Authority,1,46.25149713,-60.08468257
Families,1187,Cape Breton,Cape Breton Regional Municipality,New Waterford,3389 Ellsworth Ave,Cape Breton Island Housing Authority,1,46.25153475,-60.08489947
Families,1188,Cape Breton,Cape Breton Regional Municipality,New Waterford,370 McKay St,Cape Breton Island Housing Authority,1,46.24799921,-60.07286705
Families,1189,Cape Breton,Cape Breton Regional Municipality,New Waterford,3770 St Agnes Ave,Cape Breton Island Housing Authority,1,46.25695429,-60.09891422
Families,1190,Cape Breton,Cape Breton Regional Municipality,New Waterford,3774 St Agnes Ave,Cape Breton Island Housing Authority,1,46.25700841,-60.09915968
Families,1191,Cape Breton,Cape Breton Regional Municipality,New Waterford,382 McKay St,Cape Breton Island Housing Authority,1,46.24781724,-60.07295271
Families,1192,Cape Breton,Cape Breton Regional Municipality,New Waterford,558 Park St,Cape Breton Island Housing Authority,1,46.24818538,-60.09824485
Families,1193,Cape Breton,Cape Breton Regional Municipality,New Waterford,585 Park St,Cape Breton Island Housing Authority,1,46.24747386,-60.09914266
Families,1194,Cape Breton,Cape Breton Regional Municipality,New Waterford,3786 Ellsworth Ave,Cape Breton Island Housing Authority,1,46.25626851,-60.0998635
Families,1195,Cape Breton,Cape Breton Regional Municipality,New Waterford,433 Cockburn St,Cape Breton Island Housing Authority,1,46.24634661,-60.07271848
Families,1196,Cape Breton,Cape Breton Regional Municipality,New Waterford,376 Fourteenth St,Cape Breton Island Housing Authority,1,46.24929397,-60.07872596
Families,1197,Cape Breton,Cape Breton Regional Municipality,New Waterford,439 Cockburn St,Cape Breton Island Housing Authority,1,46.24619002,-60.07281024
Families,1198,Cape Breton,Cape Breton Regional Municipality,New Waterford,765 Forsythe St,Cape Breton Island Housing Authority,1,46.24247053,-60.10091446
Families,1199,Cape Breton,Cape Breton Regional Municipality,New Waterford,578 Park St,Cape Breton Island Housing Authority,1,46.24770521,-60.09847215
Families,1200,Cape Breton,Cape Breton Regional Municipality,New Waterford,400 Cockburn St,Cape Breton Island Housing Authority,1,46.24708777,-60.07193101
Families,1201,Cape Breton,Cape Breton Regional Municipality,New Waterford,406 Cockburn St,Cape Breton Island Housing Authority,1,46.24694034,-60.07201266
Families,1202,Cape Breton,Cape Breton Regional Municipality,Dominion,162 Neville St,Cape Breton Island Housing Authority,1,46.20828547,-60.01057731
Families,1203,Cape Breton,Cape Breton Regional Municipality,New Waterford,351 Thirteenth St,Cape Breton Island Housing Authority,1,46.2501309,-60.07997789
Families,1204,Cape Breton,Cape Breton Regional Municipality,Dominion,166 Neville St,Cape Breton Island Housing Authority,1,46.20814245,-60.01059512
Families,1205,Cape Breton,Cape Breton Regional Municipality,Dominion,150 Park St,Cape Breton Island Housing Authority,1,46.21827599,-60.00733097
Families,1206,Cape Breton,Cape Breton Regional Municipality,Dominion,170 Neville St,Cape Breton Island Housing Authority,1,46.20800816,-60.01059329
Families,1207,Cape Breton,Cape Breton Regional Municipality,Dominion,11 Gillis Lane,Cape Breton Island Housing Authority,1,46.21853581,-60.00690268
Families,1208,Cape Breton,Cape Breton Regional Municipality,Dominion,12 Gillis Lane,Cape Breton Island Housing Authority,1,46.21823916,-60.00692366
Families,1209,Cape Breton,Cape Breton Regional Municipality,Dominion,17 Gillis Lane,Cape Breton Island Housing Authority,1,46.21850953,-60.00661175
Families,1210,Cape Breton,Cape Breton Regional Municipality,Dominion,23 Gillis Lane,Cape Breton Island Housing Authority,1,46.21849667,-60.00631399
Families,1211,Cape Breton,Cape Breton Regional Municipality,Dominion,8 Lewis Dr,Cape Breton Island Housing Authority,1,46.21171224,-60.02783249
Families,1212,Cape Breton,Cape Breton Regional Municipality,Dominion,39 Lewis Dr,Cape Breton Island Housing Authority,1,46.21096902,-60.0266647
Families,1213,Cape Breton,Cape Breton Regional Municipality,Dominion,26 Gillis Lane,Cape Breton Island Housing Authority,1,46.21806726,-60.00641998
Families,1214,Cape Breton,Cape Breton Regional Municipality,Dominion,28 Gillis Lane,Cape Breton Island Housing Authority,1,46.21791883,-60.00645091
Families,1215,Cape Breton,Cape Breton Regional Municipality,Dominion,69 Brook St,Cape Breton Island Housing Authority,1,46.21014058,-60.02277939
Families,1216,Cape Breton,Cape Breton Regional Municipality,Louisbourg,38 Riverdale St,Cape Breton Island Housing Authority,1,45.92102838,-59.98132496
Families,1217,Cape Breton,Cape Breton Regional Municipality,Louisbourg,17 Elwood St,Cape Breton Island Housing Authority,1,45.92032035,-59.97641802
Families,1218,Cape Breton,Cape Breton Regional Municipality,Scotchtown,12 Cashin Cres,Cape Breton Island Housing Authority,1,46.24152811,-60.10404649
Families,1219,Cape Breton,Cape Breton Regional Municipality,Scotchtown,24 Cashin Cres,Cape Breton Island Housing Authority,1,46.2413258,-60.10419023
Families,1220,Cape Breton,Cape Breton Regional Municipality,Scotchtown,16 Cashin Cres,Cape Breton Island Housing Authority,1,46.24149522,-60.10409245
Families,1221,Cape Breton,Cape Breton Regional Municipality,Scotchtown,28 Cashin Cres,Cape Breton Island Housing Authority,1,46.24128008,-60.10421115
Families,1222,Cape Breton,Cape Breton Regional Municipality,Scotchtown,36 Cashin Cres,Cape Breton Island Housing Authority,1,46.24113001,-60.10427014
Families,1223,Cape Breton,Cape Breton Regional Municipality,Scotchtown,40 Cashin Cres,Cape Breton Island Housing Authority,1,46.2410889,-60.10429668
Families,1224,Cape Breton,Cape Breton Regional Municipality,Scotchtown,11 Cashin Cres,Cape Breton Island Housing Authority,1,46.24174164,-60.10449867
Families,1225,Cape Breton,Cape Breton Regional Municipality,Scotchtown,15 Cashin Cres,Cape Breton Island Housing Authority,1,46.24169396,-60.10450461
Families,1226,Cape Breton,Cape Breton Regional Municipality,Scotchtown,23 Cashin Cres,Cape Breton Island Housing Authority,1,46.24154735,-60.10464734
Families,1227,Cape Breton,Cape Breton Regional Municipality,Scotchtown,27 Cashin Cres,Cape Breton Island Housing Authority,1,46.24151065,-60.10470079
Families,1228,Cape Breton,Cape Breton Regional Municipality,Grand Lake Road,5 Macguire Dr,Cape Breton Island Housing Authority,1,46.1463682,-60.15003399
Families,1229,Cape Breton,Cape Breton Regional Municipality,Grand Lake Road,7 Macguire Dr,Cape Breton Island Housing Authority,1,46.14620606,-60.14998727
Families,1230,Cape Breton,Cape Breton Regional Municipality,Grand Lake Road,3 Macguire Dr,Cape Breton Island Housing Authority,1,46.14641626,-60.15001981
Families,1231,Cape Breton,Cape Breton Regional Municipality,Grand Lake Road,9 Macguire Dr,Cape Breton Island Housing Authority,1,46.14612138,-60.1500194
Families,1232,Cape Breton,Cape Breton Regional Municipality,Grand Lake Road,11 Macguire Dr,Cape Breton Island Housing Authority,1,46.14599084,-60.15011678
Families,1233,Cape Breton,Cape Breton Regional Municipality,Grand Lake Road,13 Macguire Dr,Cape Breton Island Housing Authority,1,46.14594285,-60.15014032
Families,1234,Cape Breton,Cape Breton Regional Municipality,Grand Lake Road,21 Macguire Dr,Cape Breton Island Housing Authority,1,46.14528093,-60.15047366
Families,1235,Cape Breton,Cape Breton Regional Municipality,Grand Lake Road,23 Macguire Dr,Cape Breton Island Housing Authority,1,46.14524826,-60.15050561
